country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,1.7536534446764,1.96963479688141,4.62776659959759,2.61538461538462,0.224887556221881,0.860134629768143,1.48312940304042,4.45743514797223,4.40713536201469,2.98157453936348,2.73259596616785,2.34325522482586,2.69183168316831,3.55528773727027,2.32761128891474,4.35029854990048,1.77111716621253,2.91834002677377,3.3038501560874,1.76278015613196,2.44988864142539,2.487922705314,1.5083667216592,1.27699094497329,1.94864740944519,1.91140094445696,1.61076787290378,0.846905537459296,2.86391042204996
Austria,3.63178554402613,2.95340652383276,2.2433637541205,1.86097410872888,1.3059833037407,0.922466865804051,0.568986519284555,2.34486839687016,2.64999999999997,1.81035882448452,1.35555378358982,2.06120682873104,2.29913772525068,1.44154653778849,2.16855593888618,3.21595111754302,0.506309393986597,1.81353173680539,3.28658305428623,2.48567508675653,2.00015749271597,1.60580560487915,0.896565286860077,0.891592367302709,2.08126858275521,1.99838187702262,1.53089553422702,1.38190954773872,2.76666666666667
Belgium,2.75442578302316,2.37754452926211,1.46796116504854,2.07702462348191,1.62816049512958,0.949250288350633,1.12084823417846,2.54451776190907,2.46925823086076,1.6452143617536,1.5889639997038,2.09728311239311,2.78143263670022,1.79120770070459,1.8230563002681,4.48944420508401,-0.0531456741253759,2.18929920422456,3.53208210722745,2.83966343445896,1.11309594027539,0.340002833356929,0.561429152790128,1.97385264653172,2.12597086002609,2.05316499865182,1.43681956996435,0.740791812220349,2.44024851144084
Canada,1.86507936507936,0.16556291390731,2.14876033057849,1.57053112507136,1.6212163808453,0.995942456658049,1.73484295105918,2.71943995691977,2.52512013979905,2.25839440940856,2.75856321360111,1.8572587185726,2.21355203439764,2.0020253953416,2.13838399266839,2.37027067444296,0.299466803009292,1.77687154092627,2.91213508872353,1.5156782312452,0.938291897815255,1.90663590717873,1.1252413609428,1.4287595470108,1.59688412852967,2.268225672481,1.94926902411599,0.716999632307876,3.3951931852753
Czech Republic,20.813026140895,10.0394242229761,8.99053056374664,8.7587747287811,8.59615666715563,10.6983655274889,2.13544844417325,3.77538829151734,4.66267556988258,1.90298097019028,0.118739205526786,2.76010781671159,1.85709789109223,2.53399258343634,2.85312437211171,6.35866380152375,1.0193773532923,1.47272727272728,1.91721913635548,3.28762306610408,1.43829787234044,0.343988589646767,0.309364548494994,0.683504209385704,2.45053398460135,2.14949494949495,2.84787595918045,3.16129528497807,3.8398449150015
Denmark,1.25786163522011,1.99201419698313,2.08360520248815,2.12629964206578,2.18216714649311,1.84565128623929,2.49779488413117,2.9032770873677,2.33787483702739,2.42443661219695,2.07507820646506,1.15435693124937,1.81781458291256,1.92422138464586,1.69326586220323,3.4162679425837,1.30470991024337,2.31092436974791,2.75868226051244,2.39791485664642,0.789071780078051,0.564020540449527,0.452034153691607,0.250000000000028,1.14713216957604,0.813609467455652,0.758131572511587,0.420711974110029,1.85304543989688
Finland,2.19065362521346,1.08855836283254,0.791236215713251,0.629198126572972,1.19255646009493,1.39947131083817,1.16223698334931,3.04209645754528,2.57844076836537,1.57122082395661,0.877438551306574,0.187123374563893,0.623871195822717,1.56666666666667,2.51066622907777,4.06595165679525,-1.222e-14,1.18413495592236,3.41680903370973,2.80833232604055,1.4782881329362,1.04120000617923,-0.207932040461464,0.356684500891694,0.754015047084425,1.08382098409295,1.02409392963433,0.290554555653293,2.19457432339995
France,2.10446277124644,1.65551532926996,1.79648142095597,1.98288365089732,1.20394294026968,0.651126867833024,0.537141639134603,1.6759598872093,1.634780795496,1.9234122872706,2.09847219146922,2.14208964640241,1.74586936380482,1.67512449608725,1.48799805953857,2.81286194914789,0.0876204781574688,1.53112270420926,2.11159795174999,1.95419531613503,0.863715497861823,0.507758822937963,0.0375143805125534,0.183334861123878,1.03228275064672,1.85081508315492,1.10825492288292,0.476498852725089,1.64233141038392
Germany,4.47457627118642,2.6930564568462,1.70616113744077,1.44972558765662,1.93936919465143,0.91118453990184,0.585433617781331,1.44026832396173,1.98385685111349,1.42080671307334,1.03422339225272,1.66573608784663,1.54691075514876,1.57742924103118,2.29834058035319,2.62838306731435,0.312737722931308,1.10380856083581,2.0751729310776,2.00849118223386,1.50472226668801,0.90679703516796,0.514421011587011,0.49174862477083,1.50949655801603,1.73216766075663,1.44566701469763,0.506689889953276,3.14296967309967
Greece,14.4112677334119,10.8740794338332,8.93451397844176,8.19454859355109,5.53600312501777,4.76622558738949,2.63663843209496,3.15117752161276,3.37396640971281,3.62936293662934,3.53065079124997,2.89884797037117,3.54507304642513,3.19594597015618,2.89500101988337,4.15279636050494,1.21007395066187,4.71298158606682,3.32987017049401,1.50151977707713,-0.921271892644809,-1.31224241022506,-1.73590237199746,-0.825657589847188,1.12125902741744,0.625620508019237,0.25299274936364,-1.24797170753652,1.22382564684061
